batch_id,num_utterances,start_index,mean_dist,std_dist,cutoff,cum_mean_dist,cum_std_dist,cum_cutoff
47,20,921,0.8281319737434387,0.0818154588341713,0.90994743257761,0.7139142751693726,0.16306598484516144,0.876980260014534
48,20,941,0.7980972528457642,0.09664098173379898,0.8947382345795631,0.7156680822372437,0.16237524151802063,0.8780433237552643
49,20,961,0.7814735770225525,0.08651430159807205,0.8679878786206245,0.717011034488678,0.1614280492067337,0.8784390836954117
50,20,981,0.7491661310195923,0.10076764971017838,0.8499337807297707,0.7176541686058044,0.16047030687332153,0.878124475479126
51,20,1001,0.78412264585495,0.10884323716163635,0.8929658830165863,0.7189575433731079,0.1598474681377411,0.878805011510849
52,20,1021,0.682344377040863,0.1888428032398224,0.8711871802806854,0.7182533740997314,0.16042697429656982,0.8786803483963013
53,20,1041,0.6645182967185974,0.1778683364391327,0.8423866331577301,0.717239499092102,0.16084736585617065,0.8780868649482727
54,20,1061,0.7117890119552612,0.1932426393032074,0.9050316512584686,0.7171385884284973,0.16140145063400269,0.8785400390625
55,20,1081,0.6555980443954468,0.13804581761360168,0.7936438620090485,0.7160196304321289,0.16116289794445038,0.8771825283765793
56,20,1101,0.7338239550590515,0.11310587078332901,0.8469298258423805,0.7163375020027161,0.16041208803653717,0.8767495900392532
57,20,1121,0.6737081408500671,0.09797028452157974,0.7716784253716469,0.7155896425247192,0.1595984399318695,0.8751880824565887
58,20,1141,0.7731924653053284,0.2188953459262848,0.9920878112316132,0.7165828347206116,0.16085359454154968,0.8774364292621613
59,20,1161,0.7357059717178345,0.1377290040254593,0.8734349757432938,0.7169069647789001,0.16045798361301422,0.8773649483919144
60,20,1181,0.7861871123313904,0.12988266348838806,0.9160697758197784,0.718061625957489,0.16019782423973083,0.8782594501972198
61,20,1201,0.8347695469856262,0.16503487527370453,0.9998044222593307,0.719974935054779,0.16089320182800293,0.880868136882782
62,20,1221,0.8014888167381287,0.17327319085597992,0.9747620075941086,0.7212895750999451,0.1613527089357376,0.8826422840356827
63,20,1241,0.8221165537834167,0.1771770566701889,0.9992936104536057,0.7228900790214539,0.16203022003173828,0.8849202990531921
64,20,1261,0.6888224482536316,0.22681410610675812,0.9156365543603897,0.7223577499389648,0.16317275166511536,0.8855305016040802
65,20,1281,0.6544843912124634,0.2063722163438797,0.8608566075563431,0.7213135361671448,0.16403716802597046,0.8853507041931152
66,20,1301,0.7067369818687439,0.1694849133491516,0.8762218952178955,0.7210926413536072,0.164064422249794,0.8851570636034012
67,20,1321,0.6593605279922485,0.21328569948673248,0.872646227478981,0.7201712727546692,0.16497471928596497,0.8851459920406342
68,20,1341,0.5854086875915527,0.19708719849586487,0.7824958860874176,0.718189537525177,0.16620025038719177,0.8843897879123688
69,20,1361,0.7207023501396179,0.1677466779947281,0.888449028134346,0.7182258367538452,0.1661616563796997,0.8843874931335449
70,20,1381,0.763469398021698,0.17437177896499634,0.9378411769866943,0.7188721299171448,0.16630327701568604,0.8851754069328308
71,20,1401,0.7526416182518005,0.13281595706939697,0.8854575753211975,0.7193478941917419,0.16588856279850006,0.885236456990242
72,20,1421,0.7018019556999207,0.15888264775276184,0.8606846034526825,0.7191041707992554,0.16575303673744202,0.8848572075366974
73,20,1441,0.613601803779602,0.2183980941772461,0.8319998979568481,0.7176588773727417,0.166940376162529,0.8845992535352707
74,20,1461,0.6882035136222839,0.1970912218093872,0.8852947354316711,0.7172608971595764,0.1673404425382614,0.8846013396978378
75,20,1481,0.6739723086357117,0.15534895658493042,0.8293212652206421,0.7166837453842163,0.16721174120903015,0.8838954865932465
76,20,1501,0.7105100750923157,0.13712994754314423,0.8476400226354599,0.7166024446487427,0.16681528091430664,0.8834177255630493
77,20,1521,0.7013121247291565,0.15122537314891815,0.8525374978780746,0.7164039015769958,0.16658644378185272,0.8829903453588486
78,20,1541,0.7536445260047913,0.18019281327724457,0.9338373392820358,0.7168813347816467,0.1667582392692566,0.8836395740509033
79,20,1561,0.7765645384788513,0.09289819002151489,0.8694627285003662,0.71763676404953,0.1661459505558014,0.8837827146053314
80,20,1581,0.7926256656646729,0.18961670994758606,0.9822423756122589,0.7185742259025574,0.16660098731517792,0.8851752132177353
81,20,1601,0.6569944620132446,0.2237984985113144,0.880792960524559,0.7178139686584473,0.16747258603572845,0.8852865546941757
82,20,1621,0.6617388725280762,0.14571280777454376,0.8074516803026199,0.7171300649642944,0.16729870438575745,0.8844287693500519
83,20,1641,0.6819197535514832,0.16285715997219086,0.844776913523674,0.7167059183120728,0.16724219918251038,0.8839481174945831
84,20,1661,0.7445107698440552,0.13697569072246552,0.8814864605665207,0.7170369029045105,0.16690775752067566,0.8839446604251862
85,20,1681,0.7887958884239197,0.09144055098295212,0.8802364394068718,0.7178811430931091,0.16638411581516266,0.8842652589082718
86,20,1701,0.8097708821296692,0.10964848101139069,0.9194193631410599,0.718949556350708,0.16610708832740784,0.8850566446781158
87,20,1721,0.8583664298057556,0.05581563338637352,0.9141820631921291,0.7205520868301392,0.16591940820217133,0.8864714950323105
88,20,1741,0.9091877341270447,0.06388698518276215,0.9730747193098068,0.7226956486701965,0.16631391644477844,0.889009565114975
89,20,1761,0.7428297996520996,0.14853619039058685,0.8913659900426865,0.7229219079017639,0.1661008596420288,0.8890227675437927
90,20,1781,0.7229966521263123,0.17661093175411224,0.8996075838804245,0.7229227423667908,0.1661691963672638,0.8890919387340546
91,20,1801,0.6763290166854858,0.17446619272232056,0.8507952094078064,0.7224107384681702,0.16628333926200867,0.8886940777301788
92,20,1821,0.5380889177322388,0.15615537762641907,0.6942442953586578,0.7204071879386902,0.1672329157590866,0.8876401036977768
93,20,1841,0.646681010723114,0.1715100109577179,0.8181910216808319,0.7196144461631775,0.16740508377552032,0.8870195299386978
94,20,1861,0.6989187598228455,0.16277702152729034,0.8616957813501358,0.719394326210022,0.16732783615589142,0.8867221623659134
95,20,1881,0.6902457475662231,0.1678837686777115,0.8581295162439346,0.7190874218940735,0.16731581091880798,0.8864032328128815
96,20,1901,0.7219825983047485,0.1395057737827301,0.8614883720874786,0.7191175818443298,0.16701975464820862,0.8861373364925385
97,20,1921,0.6831684112548828,0.1968449503183365,0.8800133615732193,0.7187469601631165,0.16733422875404358,0.88608118891716
98,20,1941,0.6326974034309387,0.18336161971092224,0.816059023141861,0.717868983745575,0.1676776260137558,0.8855466097593307
99,20,1961,0.8195593953132629,0.13259616494178772,0.9521555602550507,0.7188960909843445,0.16764216125011444,0.8865382522344589
100,20,1981,0.8379201889038086,0.06286535412073135,0.90078554302454,0.7200863361358643,0.16733379662036896,0.8874201327562332
101,20,2001,0.8395304083824158,0.09564867615699768,0.9351790845394135,0.7212690114974976,0.16718029975891113,0.8884493112564087
102,20,2021,0.6904343962669373,0.21568834781646729,0.9061227440834045,0.7209666967391968,0.16768375039100647,0.8886504471302032
103,20,2041,0.6668888926506042,0.15251313149929047,0.8194020241498947,0.7204415798187256,0.16759322583675385,0.8880348056554794
104,20,2061,0.6854699850082397,0.11398925632238388,0.7994592413306236,0.7201054096221924,0.16717562079429626,0.8872810304164886
105,20,2081,0.760034441947937,0.1481836587190628,0.9082181006669998,0.7204856872558594,0.1670185774564743,0.8875042647123337
106,20,2101,0.8266525268554688,0.1375081092119217,0.9641606360673904,0.721487283706665,0.16705341637134552,0.8885407000780106
107,20,2121,0.6713587641716003,0.22616812586784363,0.897526890039444,0.7210187911987305,0.16770078241825104,0.8887195736169815
108,20,2141,0.7071172595024109,0.14560391008853912,0.85272116959095,0.7208900451660156,0.16748543083667755,0.8883754760026932
109,20,2161,0.6971704959869385,0.12263120710849762,0.8198017030954361,0.7206723690032959,0.16712315380573273,0.8877955228090286
110,20,2181,0.7130491137504578,0.12460963428020477,0.8376587480306625,0.7206031084060669,0.1667657345533371,0.887368842959404
111,20,2201,0.7348199486732483,0.15255841612815857,0.8873783648014069,0.7207311987876892,0.1666170358657837,0.8873482346534729
112,20,2221,0.6668804287910461,0.17984382808208466,0.8467242568731308,0.7202503681182861,0.1667734831571579,0.887023851275444
113,20,2241,0.7163893580436707,0.17562271654605865,0.8920120745897293,0.7202162146568298,0.16681335866451263,0.8870295733213425
114,20,2261,0.5622413754463196,0.20435073971748352,0.7665921151638031,0.718830406665802,0.16777285933494568,0.8866032660007477
115,20,2281,0.6679461002349854,0.19323216378688812,0.8611782640218735,0.718388020992279,0.1680290848016739,0.8864171057939529
116,20,2301,0.6975191235542297,0.13019263744354248,0.8277117609977722,0.7182080745697021,0.16772857308387756,0.8859366476535797
117,20,2321,0.7260634899139404,0.2089928537607193,0.9350563436746597,0.718275249004364,0.16807036101818085,0.8863456100225449
118,20,2341,0.7069621086120605,0.16996702551841736,0.8769291341304779,0.7181793451309204,0.1680532991886139,0.8862326443195343
119,20,2361,0.7710428237915039,0.16044755280017853,0.9314903765916824,0.7186235785484314,0.16802792251110077,0.8866515010595322
120,20,2381,0.6929814219474792,0.16732648015022278,0.860307902097702,0.7184099555015564,0.16800352931022644,0.8864134848117828
121,20,2401,0.7197522521018982,0.15043523907661438,0.8701874911785126,0.7184210419654846,0.167837992310524,0.8862590342760086
122,20,2421,0.7176510691642761,0.15473970770835876,0.8723907768726349,0.7184147238731384,0.1677054911851883,0.8861202150583267
123,20,2441,0.762243390083313,0.13559286296367645,0.8978362530469894,0.7187709808349609,0.1674930900335312,0.8862640708684921
124,20,2461,0.6959527134895325,0.2018439769744873,0.8977966904640198,0.7185869812965393,0.16776180267333984,0.8863487839698792
125,20,2481,0.6441517472267151,0.2262408584356308,0.8703926056623459,0.7179915308952332,0.16838030517101288,0.886371836066246
126,20,2501,0.6465994715690613,0.21006254851818085,0.8566620200872421,0.7174249291419983,0.16881884634494781,0.8862437754869461
127,20,2521,0.6645839810371399,0.12118940055370331,0.7857733815908432,0.7170088887214661,0.16854386031627655,0.8855527490377426
128,20,2541,0.730184018611908,0.14413443207740784,0.8743184506893158,0.7171117663383484,0.16834668815135956,0.885458454489708
129,20,2561,0.7695052623748779,0.15137527883052826,0.9208805412054062,0.7175179123878479,0.16825804114341736,0.8857759535312653
130,20,2581,0.7512043714523315,0.18498088419437408,0.9361852556467056,0.7177770733833313,0.16837969422340393,0.8861567676067352
131,20,2601,0.6666386723518372,0.13850587606430054,0.8051445484161377,0.7173867225646973,0.16820882260799408,0.8855955451726913
132,20,2621,0.6779240965843201,0.14062859117984772,0.8185526877641678,0.7170877456665039,0.16802938282489777,0.8851171284914017
133,20,2641,0.5661620497703552,0.14408430457115173,0.710246354341507,0.7159529328346252,0.16834457218647003,0.8842975050210953
134,20,2661,0.6325551867485046,0.14461272954940796,0.7771679162979126,0.7153306007385254,0.1683097630739212,0.8836403638124466
135,20,2681,0.6910320520401001,0.13210563361644745,0.8231376856565475,0.7151505947113037,0.16806384921073914,0.8832144439220428
136,20,2701,0.632031261920929,0.1202593445777893,0.7522906064987183,0.7145394086837769,0.16789640486240387,0.8824358135461807
137,20,2721,0.7590730786323547,0.15789231657981873,0.9169653952121735,0.7148644328117371,0.16784122586250305,0.8827056586742401
138,20,2741,0.7797437310218811,0.17880229651927948,0.9585460275411606,0.7153347134590149,0.1679789423942566,0.8833136558532715
139,20,2761,0.7815864682197571,0.175492525100708,0.9570789933204651,0.7158112525939941,0.16809454560279846,0.8839057981967926
140,20,2781,0.7487229704856873,0.16536106169223785,0.9140840321779251,0.7160463333129883,0.16806897521018982,0.8841153085231781
141,20,2801,0.7505618929862976,0.11050623655319214,0.8610681295394897,0.7162911295890808,0.1677422821521759,0.8840334117412567
142,20,2821,0.8012299537658691,0.11040844768285751,0.9116384014487267,0.7168892621994019,0.1675449162721634,0.8844341784715652
143,20,2841,0.7939121127128601,0.13670888543128967,0.9306209981441498,0.7174279093742371,0.16745251417160034,0.8848804235458374
144,20,2861,0.6998701095581055,0.17050465941429138,0.8703747689723969,0.7173060178756714,0.16745010018348694,0.8847561180591583
145,20,2881,0.7298341989517212,0.1542993038892746,0.8841335028409958,0.7173923850059509,0.16734158992767334,0.8847339749336243
146,20,2901,0.6877177357673645,0.19339872896671295,0.8811164647340775,0.7171890735626221,0.16751354932785034,0.8847026228904724
147,20,2921,0.7355846762657166,0.15138141810894012,0.8869660943746567,0.7173143029212952,0.1673925668001175,0.8847068697214127
148,20,2941,0.7651495337486267,0.1356809139251709,0.9008304476737976,0.7176374197006226,0.16722574830055237,0.8848631680011749
149,20,2961,0.689337432384491,0.18008872866630554,0.8694261610507965,0.7174475193023682,0.1672988384962082,0.8847463577985764
150,20,2981,0.7908639311790466,0.12245531380176544,0.9133192449808121,0.7179369926452637,0.16713154315948486,0.8850685358047485
151,20,3001,0.6653206944465637,0.144762322306633,0.8100830167531967,0.7175885438919067,0.16702696681022644,0.8846155107021332
152,20,3021,0.7440847754478455,0.12097646296024323,0.8650612384080887,0.71776282787323,0.16676481068134308,0.8845276385545731
153,20,3041,0.6806870698928833,0.15607739984989166,0.836764469742775,0.717520534992218,0.16670005023479462,0.8842205852270126
154,20,3061,0.7150947451591492,0.20211593806743622,0.9172106832265854,0.7175047993659973,0.16691471636295319,0.8844195157289505
155,20,3081,0.6326197981834412,0.13829441368579865,0.7709142118692398,0.716957151889801,0.1668657511472702,0.8838229030370712
